source,target,relation,weight
72,31,Model Extraction,{'weight': 0.6652409557748218}
72,31,Atomspace Visualizer,{'weight': 0.24472847105479764}
72,31,GHOST,{'weight': 0.09003057317038046}
72,1,Model Extraction,{'weight': 0.6652409557748218}
72,1,Atomspace Visualizer,{'weight': 0.24472847105479764}
72,1,GHOST,{'weight': 0.09003057317038046}
72,11,Model Extraction,{'weight': 1.5752103826044412}
72,11,Atomspace Visualizer,{'weight': 0.42478961739555854}
72,11,GHOST,{'weight': 0.9999999999999999}
72,29,Model Extraction,{'weight': 1.1546978978844171}
72,29,GHOST,{'weight': 1.5752103826044412}
72,29,Atomspace Visualizer,{'weight': 0.2700917195111414}
72,20,GHOST,{'weight': 0.6652409557748218}
72,20,Atomspace Visualizer,{'weight': 0.24472847105479764}
72,20,Model Extraction,{'weight': 0.09003057317038046}
72,32,GHOST,{'weight': 0.6652409557748218}
72,32,Atomspace Visualizer,{'weight': 0.24472847105479764}
72,32,Model Extraction,{'weight': 0.09003057317038046}
72,0,Model Extraction,{'weight': 1.3304819115496436}
72,0,GHOST,{'weight': 0.4894569421095953}
72,0,Atomspace Visualizer,{'weight': 0.18006114634076092}
72,10,Model Extraction,{'weight': 0.6652409557748218}
72,10,GHOST,{'weight': 0.24472847105479764}
72,10,Atomspace Visualizer,{'weight': 0.09003057317038046}
72,34,Model Extraction,{'weight': 0.6652409557748218}
72,34,GHOST,{'weight': 0.24472847105479764}
72,34,Atomspace Visualizer,{'weight': 0.09003057317038046}
72,28,GHOST,{'weight': 0.6652409557748218}
72,28,Model Extraction,{'weight': 0.24472847105479764}
72,28,Atomspace Visualizer,{'weight': 0.09003057317038046}
72,30,GHOST,{'weight': 0.6652409557748218}
72,30,Model Extraction,{'weight': 0.24472847105479764}
72,30,Atomspace Visualizer,{'weight': 0.09003057317038046}
20,0,Model Extraction,{'weight': 3.5709332499289066}
20,0,GHOST,{'weight': 1.1589750305599515}
20,0,Atomspace Visualizer,{'weight': 1.2700917195111412}
20,0,Topic Analysis,{'weight': 11.137589367182278}
