source,target,weight
20,72,3.0
20,0,16.0
20,17,1.0
20,46,24.0
20,10,1.0
20,6,2.0
20,34,3.0
20,47,2.0
20,4,1.0
0,20,14.0
0,72,2.0
0,62,39.0
0,31,29.0
0,17,10.0
0,46,29.0
0,4,33.0
0,34,5.0
0,10,5.0
0,6,4.0
0,47,6.0
0,77,62.0
0,79,12.0
0,63,13.0
0,78,3.0
0,8,1.0
0,3,1.0
72,20,2.0
72,0,6.0
72,6,4.0
72,31,16.0
72,62,1.0
72,32,1.0
62,72,6.0
62,0,34.0
62,6,5.0
62,31,22.0
31,0,30.0
31,62,22.0
31,72,18.0
6,62,5.0
6,0,5.0
6,31,2.0
6,72,1.0
6,20,3.0
6,46,2.0
6,47,1.0
6,4,2.0
32,31,1.0
17,0,9.0
17,34,1.0
17,10,1.0
17,79,1.0
17,77,1.0
17,4,1.0
17,63,1.0
46,0,38.0
46,4,4.0
46,34,3.0
46,20,25.0
46,6,2.0
46,47,4.0
46,19,3.0
46,10,1.0
46,77,3.0
46,79,2.0
46,78,1.0
4,46,2.0
4,0,32.0
4,10,45.0
4,77,19.0
4,79,9.0
4,6,2.0
4,63,19.0
4,8,1.0
4,17,1.0
4,78,3.0
4,20,1.0
4,3,1.0
34,0,2.0
34,46,6.0
34,20,4.0
10,0,11.0
10,6,2.0
10,77,6.0
10,4,36.0
10,46,1.0
10,79,3.0
10,63,3.0
10,8,1.0
47,46,9.0
47,20,3.0
47,0,1.0
19,46,3.0
77,0,57.0
77,63,7.0
77,10,4.0
77,4,26.0
77,79,11.0
77,78,5.0
77,8,3.0
77,17,1.0
77,46,3.0
63,77,6.0
63,0,15.0
63,79,4.0
63,10,4.0
63,4,16.0
63,46,1.0
63,8,1.0
63,17,2.0
79,63,1.0
79,0,11.0
79,4,9.0
79,77,17.0
79,78,5.0
79,10,1.0
79,46,1.0
78,63,1.0
78,4,6.0
78,10,1.0
78,0,2.0
78,79,3.0
78,77,2.0
78,46,2.0
8,63,4.0
8,0,1.0
8,4,1.0
8,46,1.0
3,46,1.0
3,77,1.0
